ordernum,region,store,saledate,dep,item,unitsold,unitprice,employeeID,customerID,loyalty,firstpurchase,freq
0,North Europe,North Europe Store 64,2019-02-17,Baby,Diapers,4,30,40161972,85569066,True,2019-02-17,1
1,North Europe,North Europe Store 64,2019-07-07,Furniture,Indoor tables,10,30,96697500,72604056,True,2019-07-07,1
2,North Europe,North Europe Store 64,2019-03-05,Electronics,Speakers,5,300,20982932,30683857,False,2019-03-05,1
3,North Europe,North Europe Store 64,2019-06-19,Beauty/Health,Fragrances,8,14,67154110,77790060,True,2019-06-19,1
4,North Europe,North Europe Store 64,2019-07-14,Furniture,Beds,9,75,70835287,7346839,False,2019-07-14,1
5,North Europe,North Europe Store 64,2019-05-07,Clothing,Baby,8,25,84614210,87729901,True,2019-05-07,1
6,North Europe,North Europe Store 64,2019-03-10,Clothing,Shoes,6,13,63428484,44513201,True,2019-03-10,1
7,North Europe,North Europe Store 64,2019-04-09,Clothing,Shoes,5,25,87861148,69578887,True,2019-04-09,1
8,North Europe,North Europe Store 64,2019-08-13,Baby,Strollers,11,12,90994978,56181710,True,2019-08-13,1
9,North Europe,North Europe Store 64,2019-03-22,Electronics,Speakers,4,200,53384570,2160835,False,2019-03-22,1
10,North Europe,North Europe Store 64,2019-07-25,Clothing,Mens,11,25,83632238,81679563,True,2019-07-25,1
11,North Europe,North Europe Store 64,2019-08-17,Clothing,Kids,10,12,73338177,30683857,False,2019-03-05,2
12,North Europe,North Europe Store 64,2019-08-14,Baby,Strollers,11,15,26814916,17286680,False,2019-08-14,1
13,North Europe,North Europe Store 64,2019-01-06,Furniture,Indoor tables,4,75,72485723,83840398,True,2019-01-06,1
14,North Europe,North Europe Store 64,2019-07-19,Electronics,Televisions,9,200,55834999,6914672,False,2019-07-19,1
15,North Europe,North Europe Store 64,2019-01-20,Electronics,Cell Phones,3,200,83580612,45809702,True,2019-01-20,1
16,North Europe,North Europe Store 64,2019-01-09,Clothing,Swimwear,3,20,47877931,6482505,False,2019-01-09,1
17,North Europe,North Europe Store 64,2019-08-05,Electronics,Computers,9,100,74481171,44513201,True,2019-03-10,2
18,North Europe,North Europe Store 64,2019-07-26,Clothing,Baby,10,10,73501444,71739722,True,2019-07-26,1
19,North Europe,North Europe Store 64,2019-05-18,Clothing,Mens,8,12,22214316,60935547,True,2019-05-18,1
20,North Europe,North Europe Store 64,2019-05-04,Electronics,Computers,7,50,16163151,30251690,False,2019-05-04,1
21,North Europe,North Europe Store 64,2019-04-18,Clothing,Shoes,5,10,68120592,81679563,True,2019-07-25,2
22,North Europe,North Europe Store 64,2019-05-20,Furniture,Beds,8,75,69042974,61799881,True,2019-05-20,1
23,North Europe,North Europe Store 64,2019-02-08,Furniture,Indoor tables,3,40,92268429,85569066,True,2019-02-17,2
24,North Europe,North Europe Store 64,2019-07-23,Clothing,Swimwear,10,13,74363155,28523022,False,2019-07-23,1
25,North Europe,North Europe Store 64,2019-05-06,Clothing,Kids,9,10,99830018,34573360,False,2019-05-06,1
26,North Europe,North Europe Store 64,2019-01-07,Beauty/Health,Fragrances,2,14,53208712,56181710,True,2019-08-13,2
27,North Europe,North Europe Store 64,2019-01-09,Clothing,Womens,3,10,54479677,19015348,False,2019-01-09,1
28,North Europe,North Europe Store 64,2019-04-19,Electronics,Headphones,6,200,91340892,56181710,True,2019-08-13,3
29,North Europe,North Europe Store 64,2019-06-08,Furniture,Indoor tables,8,15,56162673,74764891,True,2019-06-08,1
30,North Europe,North Europe Store 64,2019-05-23,Baby,Strollers,8,30,62872278,70443221,True,2019-05-23,1
31,North Europe,North Europe Store 64,2019-04-24,Clothing,Baby,7,13,20835207,55317376,True,2019-04-24,1
32,North Europe,North Europe Store 64,2019-06-20,Clothing,Shoes,10,25,98952508,53156541,True,2019-06-20,1
33,North Europe,North Europe Store 64,2019-08-01,Electronics,Computers,10,50,24573546,29387356,False,2019-08-01,1
34,North Europe,North Europe Store 64,2019-01-17,Baby,Diaper bags,4,30,90122181,53588708,True,2019-01-17,1
35,North Europe,North Europe Store 64,2019-01-23,Beauty/Health,Skincare,3,14,57937433,31980358,False,2019-01-23,1
36,North Europe,North Europe Store 64,2019-06-20,Furniture,Patio furniture,9,40,99819667,37598529,False,2019-06-20,1
37,North Europe,North Europe Store 64,2019-05-13,Beauty/Health,Makeup,7,10,38368986,63960716,True,2019-05-13,1
38,North Europe,North Europe Store 64,2019-05-25,Baby,Cribs,7,12,39923879,33709026,False,2019-05-25,1
39,North Europe,North Europe Store 64,2019-06-27,Beauty/Health,Haircare,8,10,53350786,73036223,True,2019-06-27,1
40,North Europe,North Europe Store 64,2019-03-15,Baby,Diapers,6,10,93850509,19447515,False,2019-03-15,1
41,North Europe,North Europe Store 64,2019-03-28,Furniture,Beds,4,30,26427903,41920199,True,2019-03-28,1
42,North Europe,North Europe Store 64,2019-02-02,Furniture,Patio furniture,4,100,15293958,86865567,True,2019-02-02,1
43,North Europe,North Europe Store 64,2019-01-04,Clothing,Baby,2,25,44717396,77357893,True,2019-01-04,1
44,North Europe,North Europe Store 64,2019-07-12,Beauty/Health,Bath,9,10,40434955,73468390,True,2019-07-12,1
45,North Europe,North Europe Store 64,2019-08-05,Furniture,Pool furniture,11,30,16887809,27658688,False,2019-08-05,1
46,North Europe,North Europe Store 64,2019-05-01,Furniture,Indoor seating,8,75,77589047,41488032,True,2019-05-01,1
47,North Europe,North Europe Store 64,2019-03-13,Furniture,Patio furniture,5,75,74353165,58774712,True,2019-03-13,1
48,North Europe,North Europe Store 64,2019-04-28,Clothing,Shoes,7,13,79832944,3889503,False,2019-04-28,1
49,North Europe,North Europe Store 64,2019-04-22,Baby,Diaper bags,5,30,32237579,56181710,True,2019-08-13,4
50,North Europe,North Europe Store 64,2019-03-17,Electronics,Speakers,5,200,28526842,68714553,True,2019-03-17,1
51,North Europe,North Europe Store 64,2019-07-02,Beauty/Health,Skincare,11,15,66621788,22040517,False,2019-07-02,1
52,North Europe,North Europe Store 64,2019-05-29,Beauty/Health,Bath,7,15,12365763,18583181,False,2019-05-29,1
53,North Europe,North Europe Store 64,2019-03-14,Beauty/Health,Bath,4,10,52021930,17286680,False,2019-08-14,2
54,North Europe,North Europe Store 64,2019-05-08,Beauty/Health,Feminine Products,7,10,16014777,49267038,True,2019-05-08,1
55,North Europe,North Europe Store 64,2019-03-18,Beauty/Health,Oral care,6,15,35527419,5618171,False,2019-03-18,1
56,North Europe,North Europe Store 64,2019-01-21,Baby,Baby toys,2,30,86650539,8643340,False,2019-01-21,1
57,North Europe,North Europe Store 64,2019-02-09,Baby,Diapers,4,10,82331091,6050338,False,2019-02-09,1
58,North Europe,North Europe Store 64,2019-04-29,Beauty/Health,Oral care,6,14,92083284,17718847,False,2019-04-29,1
59,North Europe,North Europe Store 64,2019-05-16,Clothing,Swimwear,7,12,56127228,42352366,True,2019-05-16,1
60,North Europe,North Europe Store 64,2019-08-08,Furniture,Pool furniture,10,100,59705689,89026402,True,2019-08-08,1
61,North Europe,North Europe Store 64,2019-02-26,Electronics,Computers,3,100,84102453,48402704,True,2019-02-26,1
62,North Europe,North Europe Store 64,2019-04-12,Electronics,Cell Phones,5,100,84536563,53156541,True,2019-06-20,2
63,North Europe,North Europe Store 64,2019-08-03,Clothing,Baby,10,25,64066956,38030696,False,2019-08-03,1
64,North Europe,North Europe Store 64,2019-05-14,Clothing,Mens,8,13,93077245,74332724,True,2019-05-14,1
65,North Europe,North Europe Store 64,2019-03-16,Electronics,Cell Phones,5,300,10010026,54453042,True,2019-03-16,1
66,North Europe,North Europe Store 64,2019-01-16,Furniture,Beds,3,30,83982392,76061392,True,2019-01-16,1
67,North Europe,North Europe Store 64,2019-04-30,Electronics,Cell Phones,5,300,44590300,75197058,True,2019-04-30,1
68,North Europe,North Europe Store 64,2019-05-30,Baby,Car seats,8,5,60769019,34573360,False,2019-05-06,2
69,North Europe,North Europe Store 64,2019-03-12,Clothing,Baby,6,20,98942869,11668509,False,2019-03-12,1
70,North Europe,North Europe Store 64,2019-05-16,Furniture,Pool furniture,9,100,82766681,12532843,False,2019-05-16,1
71,North Europe,North Europe Store 64,2019-08-17,Baby,Baby toys,12,12,93344564,32844692,False,2019-08-17,1
72,North Europe,North Europe Store 64,2019-02-28,Clothing,Mens,3,10,64650900,59206879,True,2019-02-28,1
73,North Europe,North Europe Store 64,2019-07-06,Beauty/Health,Bath,11,10,84872845,36734195,False,2019-07-06,1
74,North Europe,North Europe Store 64,2019-02-02,Baby,Cribs,5,5,62157123,84704732,True,2019-02-02,1
75,North Europe,North Europe Store 64,2019-02-10,Beauty/Health,Haircare,5,14,37510994,50995706,True,2019-02-10,1
76,North Europe,North Europe Store 64,2019-05-23,Baby,Diaper bags,7,5,29348092,4321670,False,2019-05-23,1
77,North Europe,North Europe Store 64,2019-03-14,Furniture,Beds,4,100,44758309,73468390,True,2019-07-12,2
78,North Europe,North Europe Store 64,2019-06-29,Clothing,Kids,8,25,87094426,38030696,False,2019-08-03,2
79,North Europe,North Europe Store 64,2019-02-03,Beauty/Health,Feminine Products,5,6,13387349,50131372,True,2019-02-03,1
80,North Europe,North Europe Store 64,2019-01-19,Electronics,Cell Phones,3,50,56427082,60935547,True,2019-05-18,2
