ordernum,region,store,saledate,dep,item,unitsold,unitprice,employeeID,customerID,loyalty,firstpurchase,freq
0,East US,East US Store 9,2019-08-20,Furniture,Patio furniture,13,15,73325254,76061392,True,2019-08-20,1
1,East US,East US Store 9,2019-08-20,Beauty/Health,Fragrances,13,10,61287873,78222227,True,2019-08-20,1
2,East US,East US Store 9,2019-05-12,Clothing,Mens,8,12,77471288,85569066,True,2019-05-12,1
3,East US,East US Store 9,2019-07-29,Beauty/Health,Bath,12,6,72898191,31980358,False,2019-07-29,1
4,East US,East US Store 9,2019-03-14,Clothing,Kids,6,12,30835694,23769185,False,2019-03-14,1
5,East US,East US Store 9,2019-01-22,Electronics,Headphones,3,50,66542872,18583181,False,2019-01-22,1
6,East US,East US Store 9,2019-03-01,Electronics,Headphones,3,200,74678673,76925726,True,2019-03-01,1
7,East US,East US Store 9,2019-04-26,Beauty/Health,Fragrances,6,10,13523504,18583181,False,2019-01-22,2
8,East US,East US Store 9,2019-06-09,Furniture,Indoor seating,10,30,53088298,8211173,False,2019-06-09,1
9,East US,East US Store 9,2019-01-07,Baby,Baby toys,3,10,92905315,74764891,True,2019-01-07,1
10,East US,East US Store 9,2019-04-11,Furniture,Indoor tables,8,75,65264678,32844692,False,2019-04-11,1
11,East US,East US Store 9,2019-08-13,Electronics,Speakers,2,100,41604949,32844692,False,2019-04-11,2
12,East US,East US Store 9,2019-04-22,Furniture,Beds,6,75,48410262,77790060,True,2019-04-22,1
13,East US,East US Store 9,2019-01-31,Furniture,Indoor tables,5,30,87495257,12965010,False,2019-01-31,1
14,East US,East US Store 9,2019-04-07,Baby,Diapers,7,15,87875058,80383062,True,2019-04-07,1
15,East US,East US Store 9,2019-07-25,Electronics,Televisions,3,100,36485398,45809702,True,2019-07-25,1
16,East US,East US Store 9,2019-05-19,Furniture,Indoor seating,9,75,99906799,6914672,False,2019-05-19,1
17,East US,East US Store 9,2019-07-17,Furniture,Beds,10,75,97490010,43216700,True,2019-07-17,1
18,East US,East US Store 9,2019-01-25,Electronics,Tablets,3,100,80906834,59639046,True,2019-01-25,1
19,East US,East US Store 9,2019-08-15,Baby,Cribs,12,30,53768408,26794354,False,2019-08-15,1
20,East US,East US Store 9,2019-03-28,Beauty/Health,Feminine Products,7,10,32950319,31548191,False,2019-03-28,1
21,East US,East US Store 9,2019-01-17,Clothing,Baby,4,12,22799646,33276859,False,2019-01-17,1
22,East US,East US Store 9,2019-07-20,Furniture,Indoor tables,10,15,40976736,4321670,False,2019-07-20,1
23,East US,East US Store 9,2019-04-20,Electronics,Tablets,3,100,58065234,78222227,True,2019-08-20,2
24,East US,East US Store 9,2019-08-21,Furniture,Indoor seating,12,40,77309619,81679563,True,2019-08-21,1
25,East US,East US Store 9,2019-07-22,Furniture,Patio furniture,10,15,36894740,35005527,False,2019-07-22,1
