ordernum,region,store,saledate,dep,item,unitsold,unitprice,employeeID,customerID,loyalty,firstpurchase,freq
0,East US,East US Store 55,2019-03-21,Baby,Baby toys,8,5,17063192,63096382,True,2019-03-21,1
1,East US,East US Store 55,2019-06-23,Clothing,Baby,10,12,18158749,45809702,True,2019-06-23,1
2,East US,East US Store 55,2019-03-09,Beauty/Health,Bath,6,6,56412997,27658688,False,2019-03-09,1
3,East US,East US Store 55,2019-06-24,Baby,Diaper bags,11,30,80460700,36734195,False,2019-06-24,1
4,East US,East US Store 55,2019-05-23,Electronics,Headphones,9,200,83222268,65257217,True,2019-05-23,1
5,East US,East US Store 55,2019-05-30,Electronics,Cell Phones,8,100,14645869,79518728,True,2019-05-30,1
6,East US,East US Store 55,2019-07-12,Clothing,Womens,13,20,31352377,26794354,False,2019-07-12,1
7,East US,East US Store 55,2019-02-20,Furniture,Indoor tables,6,30,29244507,75629225,True,2019-02-20,1
8,East US,East US Store 55,2019-03-10,Baby,Diaper bags,8,30,54739364,81247396,True,2019-03-10,1
9,East US,East US Store 55,2019-07-15,Clothing,Swimwear,12,10,32379703,29819523,False,2019-07-15,1
10,East US,East US Store 55,2019-01-28,Clothing,Swimwear,5,13,97603253,38895030,True,2019-01-28,1
11,East US,East US Store 55,2019-06-10,Electronics,Computers,9,300,87588621,48834871,True,2019-06-10,1
12,East US,East US Store 55,2019-01-19,Baby,Baby toys,4,30,83921366,69146720,True,2019-01-19,1
13,East US,East US Store 55,2019-02-16,Electronics,Headphones,5,300,95261948,84704732,True,2019-02-16,1
14,East US,East US Store 55,2019-08-08,Beauty/Health,Fragrances,12,10,66435490,22040517,False,2019-08-08,1
15,East US,East US Store 55,2019-06-03,Electronics,Headphones,10,200,51404956,86433400,True,2019-06-03,1
16,East US,East US Store 55,2019-08-21,Beauty/Health,Oral care,14,14,77806205,69578887,True,2019-08-21,1
17,East US,East US Store 55,2019-07-31,Electronics,Headphones,10,50,37849036,52292207,True,2019-07-31,1
18,East US,East US Store 55,2019-08-13,Beauty/Health,Feminine Products,13,10,95002327,88594235,True,2019-08-13,1
19,East US,East US Store 55,2019-08-14,Baby,Baby toys,12,12,36498480,27226521,False,2019-08-14,1
20,East US,East US Store 55,2019-03-19,Electronics,Cell Phones,6,300,28240119,84272565,True,2019-03-19,1
21,East US,East US Store 55,2019-05-14,Baby,Car seats,10,10,31211630,44945368,True,2019-05-14,1
22,East US,East US Store 55,2019-01-06,Clothing,Mens,5,10,63478832,10804175,False,2019-01-06,1
23,East US,East US Store 55,2019-07-13,Beauty/Health,Fragrances,12,10,87851340,42352366,True,2019-07-13,1
24,East US,East US Store 55,2019-01-13,Electronics,Computers,5,100,48454260,70011054,True,2019-01-13,1
25,East US,East US Store 55,2019-03-12,Beauty/Health,Skincare,7,14,50595565,15558012,False,2019-03-12,1
26,East US,East US Store 55,2019-04-14,Beauty/Health,Skincare,8,10,59700189,2593002,False,2019-04-14,1
