ordernum,region,store,saledate,dep,item,unitsold,unitprice,employeeID,customerID,loyalty,firstpurchase,freq
0,Central US,Central US Store 99,2019-04-08,Furniture,Indoor seating,9,15,46564604,11236342,False,2019-04-08,1
1,Central US,Central US Store 99,2019-05-30,Beauty/Health,Haircare,9,10,41428310,63528549,True,2019-05-30,1
2,Central US,Central US Store 99,2019-05-15,Baby,Cribs,11,12,90702179,71307555,True,2019-05-15,1
3,Central US,Central US Store 99,2019-03-29,Beauty/Health,Fragrances,8,10,40043120,84704732,True,2019-03-29,1
4,Central US,Central US Store 99,2019-06-18,Clothing,Womens,11,25,43173651,53156541,True,2019-06-18,1
5,Central US,Central US Store 99,2019-05-05,Furniture,Pool furniture,10,100,50424297,63960716,True,2019-05-05,1
6,Central US,Central US Store 99,2019-04-26,Baby,Cribs,9,30,68441684,23337018,False,2019-04-26,1
7,Central US,Central US Store 99,2019-08-10,Electronics,Speakers,12,100,54059198,28955189,False,2019-08-10,1
8,Central US,Central US Store 99,2019-03-06,Baby,Strollers,6,30,97943477,80815229,True,2019-03-06,1
9,Central US,Central US Store 99,2019-03-26,Furniture,Pool furniture,8,15,74567167,86433400,True,2019-03-26,1
10,Central US,Central US Store 99,2019-06-21,Electronics,Speakers,10,50,81142903,70875388,True,2019-06-21,1
11,Central US,Central US Store 99,2019-08-13,Furniture,Indoor seating,13,75,96118022,22904851,False,2019-08-13,1
12,Central US,Central US Store 99,2019-02-24,Clothing,Shoes,6,20,49476898,36734195,False,2019-02-24,1
13,Central US,Central US Store 99,2019-07-25,Baby,Baby toys,11,30,96785440,19447515,False,2019-07-25,1
14,Central US,Central US Store 99,2019-08-02,Beauty/Health,Skincare,12,6,60189603,48834871,True,2019-08-02,1
15,Central US,Central US Store 99,2019-03-25,Baby,Car seats,6,30,87265592,38462863,False,2019-03-25,1
16,Central US,Central US Store 99,2019-06-03,Electronics,Headphones,10,50,34065522,70875388,True,2019-06-21,2
17,Central US,Central US Store 99,2019-04-12,Clothing,Kids,8,10,73509745,26362187,False,2019-04-12,1
18,Central US,Central US Store 99,2019-05-30,Beauty/Health,Skincare,9,14,49519515,76925726,True,2019-05-30,1
19,Central US,Central US Store 99,2019-01-06,Furniture,Indoor tables,5,100,97702348,65689384,True,2019-01-06,1
