ordernum,region,store,saledate,dep,item,unitsold,unitprice,employeeID,customerID,loyalty,firstpurchase,freq
0,East Europe,East Europe Store 76,2019-08-02,Beauty/Health,Feminine Products,10,10,25196044,27658688,False,2019-08-02,1
1,East Europe,East Europe Store 76,2019-01-24,Clothing,Mens,2,12,91475661,74764891,True,2019-01-24,1
2,East Europe,East Europe Store 76,2019-01-31,Electronics,Computers,3,100,82176125,59639046,True,2019-01-31,1
3,East Europe,East Europe Store 76,2019-04-10,Clothing,Shoes,5,10,56179240,87297734,True,2019-04-10,1
4,East Europe,East Europe Store 76,2019-07-05,Baby,Cribs,9,30,35315706,89026402,True,2019-07-05,1
5,East Europe,East Europe Store 76,2019-07-29,Clothing,Kids,10,10,76890914,73036223,True,2019-07-29,1
6,East Europe,East Europe Store 76,2019-05-11,Electronics,Cell Phones,6,200,18213647,39327197,True,2019-05-11,1
7,East Europe,East Europe Store 76,2019-05-03,Furniture,Beds,8,15,49549456,7779006,False,2019-05-03,1
8,East Europe,East Europe Store 76,2019-05-27,Beauty/Health,Feminine Products,9,15,60161705,6050338,False,2019-05-27,1
9,East Europe,East Europe Store 76,2019-07-03,Beauty/Health,Skincare,10,14,73845368,22040517,False,2019-07-03,1
10,East Europe,East Europe Store 76,2019-07-18,Furniture,Indoor tables,9,40,95701946,54020875,True,2019-07-18,1
11,East Europe,East Europe Store 76,2019-04-23,Baby,Car seats,5,5,53660633,44081034,True,2019-04-23,1
12,East Europe,East Europe Store 76,2019-05-08,Furniture,Patio furniture,7,30,54829232,56181710,True,2019-05-08,1
13,East Europe,East Europe Store 76,2019-04-06,Baby,Baby toys,6,30,65636383,41055865,True,2019-04-06,1
14,East Europe,East Europe Store 76,2019-01-10,Beauty/Health,Skincare,4,15,36966103,54885209,True,2019-01-10,1
15,East Europe,East Europe Store 76,2019-02-16,Beauty/Health,Fragrances,3,15,17899723,47106203,True,2019-02-16,1
16,East Europe,East Europe Store 76,2019-01-04,Baby,Diaper bags,3,30,26996479,78222227,True,2019-01-04,1
17,East Europe,East Europe Store 76,2019-07-09,Beauty/Health,Haircare,11,10,37889249,70875388,True,2019-07-09,1
18,East Europe,East Europe Store 76,2019-05-07,Beauty/Health,Bath,8,15,43062115,72171889,True,2019-05-07,1
19,East Europe,East Europe Store 76,2019-01-23,Baby,Diaper bags,4,5,31078221,85569066,True,2019-01-23,1
20,East Europe,East Europe Store 76,2019-01-21,Baby,Strollers,2,30,38843363,34141193,False,2019-01-21,1
21,East Europe,East Europe Store 76,2019-02-01,Clothing,Kids,3,12,32645558,32412525,False,2019-02-01,1
22,East Europe,East Europe Store 76,2019-08-03,Clothing,Shoes,12,12,39353653,14693678,False,2019-08-03,1
23,East Europe,East Europe Store 76,2019-06-12,Electronics,Tablets,7,100,22714178,30683857,False,2019-06-12,1
24,East Europe,East Europe Store 76,2019-01-03,Baby,Diapers,3,30,56973564,31116024,False,2019-01-03,1
25,East Europe,East Europe Store 76,2019-08-21,Furniture,Pool furniture,10,15,11578117,80383062,True,2019-08-21,1
26,East Europe,East Europe Store 76,2019-06-16,Furniture,Indoor tables,10,75,25086858,42784533,True,2019-06-16,1
27,East Europe,East Europe Store 76,2019-07-07,Baby,Strollers,9,30,47672187,44945368,True,2019-07-07,1
28,East Europe,East Europe Store 76,2019-03-21,Clothing,Womens,4,12,30286167,6914672,False,2019-03-21,1
29,East Europe,East Europe Store 76,2019-02-27,Clothing,Kids,5,13,22363941,56613877,True,2019-02-27,1
30,East Europe,East Europe Store 76,2019-03-23,Clothing,Shoes,6,10,98253044,16422346,False,2019-03-23,1
31,East Europe,East Europe Store 76,2019-04-30,Baby,Baby toys,6,30,15761533,73036223,True,2019-07-29,2
32,East Europe,East Europe Store 76,2019-08-11,Beauty/Health,Haircare,11,14,19978623,61367714,True,2019-08-11,1
33,East Europe,East Europe Store 76,2019-02-26,Clothing,Shoes,3,12,27833234,75629225,True,2019-02-26,1
34,East Europe,East Europe Store 76,2019-05-24,Electronics,Televisions,7,200,49485713,77357893,True,2019-05-24,1
35,East Europe,East Europe Store 76,2019-08-20,Baby,Diapers,11,30,82734229,43216700,True,2019-08-20,1
36,East Europe,East Europe Store 76,2019-05-25,Baby,Car seats,9,30,35149780,45809702,True,2019-05-25,1
37,East Europe,East Europe Store 76,2019-07-25,Furniture,Patio furniture,11,40,93386712,65257217,True,2019-07-25,1
38,East Europe,East Europe Store 76,2019-06-12,Electronics,Tablets,7,200,20972891,72604056,True,2019-06-12,1
39,East Europe,East Europe Store 76,2019-08-12,Beauty/Health,Makeup,11,10,92618265,28523022,False,2019-08-12,1
40,East Europe,East Europe Store 76,2019-02-23,Clothing,Swimwear,5,25,90453811,68282386,True,2019-02-23,1
41,East Europe,East Europe Store 76,2019-06-04,Clothing,Swimwear,9,10,46116097,18583181,False,2019-06-04,1
42,East Europe,East Europe Store 76,2019-01-29,Clothing,Mens,4,25,60427447,71307555,True,2019-01-29,1
43,East Europe,East Europe Store 76,2019-04-25,Furniture,Pool furniture,7,30,92427479,87729901,True,2019-04-25,1
44,East Europe,East Europe Store 76,2019-07-18,Furniture,Indoor seating,9,30,32989807,54453042,True,2019-07-18,1
45,East Europe,East Europe Store 76,2019-01-06,Furniture,Beds,2,40,42390755,23337018,False,2019-01-06,1
46,East Europe,East Europe Store 76,2019-07-13,Electronics,Computers,8,100,79315548,87297734,True,2019-04-10,2
47,East Europe,East Europe Store 76,2019-04-22,Beauty/Health,Haircare,7,6,67646407,64392883,True,2019-04-22,1
48,East Europe,East Europe Store 76,2019-05-09,Clothing,Mens,7,25,27594655,42784533,True,2019-06-16,2
49,East Europe,East Europe Store 76,2019-05-17,Baby,Diapers,8,15,25508701,88162068,True,2019-05-17,1
50,East Europe,East Europe Store 76,2019-04-14,Clothing,Swimwear,7,20,18877145,51427873,True,2019-04-14,1
51,East Europe,East Europe Store 76,2019-01-03,Beauty/Health,Haircare,3,6,35855367,67850219,True,2019-01-03,1
52,East Europe,East Europe Store 76,2019-07-12,Furniture,Patio furniture,10,15,28573366,36302028,False,2019-07-12,1
53,East Europe,East Europe Store 76,2019-03-31,Electronics,Cell Phones,5,50,40132330,62232048,True,2019-03-31,1
54,East Europe,East Europe Store 76,2019-04-25,Furniture,Indoor seating,6,30,31863743,80383062,True,2019-08-21,2
55,East Europe,East Europe Store 76,2019-01-12,Electronics,Cell Phones,3,100,53063176,68714553,True,2019-01-12,1
56,East Europe,East Europe Store 76,2019-02-12,Electronics,Speakers,4,50,59426250,18151014,False,2019-02-12,1
57,East Europe,East Europe Store 76,2019-02-13,Clothing,Womens,5,13,46093150,58774712,True,2019-02-13,1
58,East Europe,East Europe Store 76,2019-02-22,Baby,Diapers,3,30,17951537,70875388,True,2019-07-09,2
59,East Europe,East Europe Store 76,2019-01-27,Baby,Strollers,2,30,48467525,66553718,True,2019-01-27,1
60,East Europe,East Europe Store 76,2019-06-18,Baby,Baby toys,8,15,50319457,65689384,True,2019-06-18,1
61,East Europe,East Europe Store 76,2019-04-18,Electronics,Headphones,5,100,99875945,50563539,True,2019-04-18,1
62,East Europe,East Europe Store 76,2019-01-05,Baby,Car seats,2,30,52300112,5186004,False,2019-01-05,1
63,East Europe,East Europe Store 76,2019-05-10,Furniture,Indoor seating,7,30,46052744,27226521,False,2019-05-10,1
64,East Europe,East Europe Store 76,2019-06-25,Furniture,Patio furniture,10,100,58610132,69578887,True,2019-06-25,1
65,East Europe,East Europe Store 76,2019-01-18,Electronics,Headphones,3,100,77169211,36734195,False,2019-01-18,1
66,East Europe,East Europe Store 76,2019-03-10,Baby,Diapers,5,15,53783047,28090855,False,2019-03-10,1
67,East Europe,East Europe Store 76,2019-01-08,Electronics,Televisions,3,300,83863613,55317376,True,2019-01-08,1
68,East Europe,East Europe Store 76,2019-06-09,Clothing,Kids,10,13,94824327,44513201,True,2019-06-09,1
69,East Europe,East Europe Store 76,2019-07-01,Beauty/Health,Bath,11,15,71286993,44081034,True,2019-04-23,2
70,East Europe,East Europe Store 76,2019-08-17,Clothing,Baby,11,13,37937841,43216700,True,2019-08-20,2
71,East Europe,East Europe Store 76,2019-02-05,Clothing,Baby,3,12,63233863,51427873,True,2019-04-14,2
72,East Europe,East Europe Store 76,2019-07-05,Beauty/Health,Bath,10,10,82678195,20744016,False,2019-07-05,1
73,East Europe,East Europe Store 76,2019-02-09,Furniture,Indoor seating,5,15,16096529,55749543,True,2019-02-09,1
74,East Europe,East Europe Store 76,2019-01-24,Electronics,Computers,3,200,16029345,37598529,False,2019-01-24,1
75,East Europe,East Europe Store 76,2019-08-20,Electronics,Televisions,9,100,76908662,72604056,True,2019-06-12,2
76,East Europe,East Europe Store 76,2019-04-26,Baby,Baby toys,6,10,33572811,28523022,False,2019-08-12,2
77,East Europe,East Europe Store 76,2019-05-20,Electronics,Speakers,6,50,46735263,50131372,True,2019-05-20,1
78,East Europe,East Europe Store 76,2019-05-18,Baby,Strollers,9,10,13637691,34573360,False,2019-05-18,1
79,East Europe,East Europe Store 76,2019-05-02,Furniture,Beds,7,30,73673559,73468390,True,2019-05-02,1
80,East Europe,East Europe Store 76,2019-06-02,Electronics,Speakers,8,100,82421634,31116024,False,2019-01-03,2
81,East Europe,East Europe Store 76,2019-07-08,Beauty/Health,Haircare,10,10,35620334,51427873,True,2019-04-14,3
82,East Europe,East Europe Store 76,2019-05-01,Electronics,Tablets,7,50,70784952,28523022,False,2019-08-12,3
83,East Europe,East Europe Store 76,2019-05-25,Clothing,Kids,8,10,99943526,33709026,False,2019-05-25,1
84,East Europe,East Europe Store 76,2019-05-18,Beauty/Health,Makeup,9,10,93519618,17718847,False,2019-05-18,1
85,East Europe,East Europe Store 76,2019-03-03,Electronics,Computers,5,200,74723402,58774712,True,2019-02-13,2
86,East Europe,East Europe Store 76,2019-08-20,Furniture,Indoor tables,12,30,83646438,84272565,True,2019-08-20,1
87,East Europe,East Europe Store 76,2019-01-02,Electronics,Tablets,3,50,22956102,28090855,False,2019-03-10,2
88,East Europe,East Europe Store 76,2019-05-13,Electronics,Cell Phones,6,200,88378779,58342545,True,2019-05-13,1
89,East Europe,East Europe Store 76,2019-03-28,Electronics,Computers,5,50,99393126,53156541,True,2019-03-28,1
90,East Europe,East Europe Store 76,2019-07-20,Electronics,Televisions,8,300,16717157,4321670,False,2019-07-20,1
91,East Europe,East Europe Store 76,2019-04-18,Furniture,Indoor tables,7,100,77406107,55749543,True,2019-02-09,2
92,East Europe,East Europe Store 76,2019-02-19,Furniture,Patio furniture,4,75,68901182,26362187,False,2019-02-19,1
93,East Europe,East Europe Store 76,2019-02-03,Electronics,Cell Phones,3,200,63423496,66985885,True,2019-02-03,1
94,East Europe,East Europe Store 76,2019-05-06,Beauty/Health,Fragrances,9,10,32531727,48834871,True,2019-05-06,1
95,East Europe,East Europe Store 76,2019-07-28,Beauty/Health,Haircare,10,10,99562637,52724374,True,2019-07-28,1
96,East Europe,East Europe Store 76,2019-07-21,Furniture,Beds,10,75,51363741,71739722,True,2019-07-21,1
97,East Europe,East Europe Store 76,2019-07-27,Clothing,Baby,10,13,24203916,57478211,True,2019-07-27,1
98,East Europe,East Europe Store 76,2019-03-24,Furniture,Indoor tables,5,15,64044419,71739722,True,2019-07-21,2
99,East Europe,East Europe Store 76,2019-07-15,Beauty/Health,Oral care,11,6,55210596,49267038,True,2019-07-15,1
100,East Europe,East Europe Store 76,2019-03-06,Baby,Diaper bags,5,12,20496665,69146720,True,2019-03-06,1
101,East Europe,East Europe Store 76,2019-07-29,Baby,Diapers,10,15,18519685,81679563,True,2019-07-29,1
102,East Europe,East Europe Store 76,2019-08-20,Beauty/Health,Feminine Products,12,10,55496690,72171889,True,2019-05-07,2
103,East Europe,East Europe Store 76,2019-06-16,Clothing,Swimwear,9,10,14844849,31980358,False,2019-06-16,1
104,East Europe,East Europe Store 76,2019-08-15,Beauty/Health,Haircare,10,14,95028435,80815229,True,2019-08-15,1
105,East Europe,East Europe Store 76,2019-07-21,Clothing,Kids,11,25,78074732,87729901,True,2019-04-25,2
106,East Europe,East Europe Store 76,2019-02-02,Baby,Strollers,5,15,87298808,66553718,True,2019-01-27,2
107,East Europe,East Europe Store 76,2019-05-31,Beauty/Health,Makeup,7,10,65058611,43648867,True,2019-05-31,1
108,East Europe,East Europe Store 76,2019-03-19,Beauty/Health,Feminine Products,6,10,70011923,13829344,False,2019-03-19,1
109,East Europe,East Europe Store 76,2019-05-28,Furniture,Beds,8,15,95776121,67418052,True,2019-05-28,1
110,East Europe,East Europe Store 76,2019-03-30,Baby,Car seats,4,5,49719458,80815229,True,2019-08-15,2
111,East Europe,East Europe Store 76,2019-03-22,Electronics,Computers,5,100,65612854,75197058,True,2019-03-22,1
112,East Europe,East Europe Store 76,2019-02-20,Beauty/Health,Feminine Products,3,10,44853347,72171889,True,2019-05-07,3
113,East Europe,East Europe Store 76,2019-03-04,Baby,Baby toys,5,30,16273563,34141193,False,2019-01-21,2
114,East Europe,East Europe Store 76,2019-04-29,Beauty/Health,Fragrances,7,14,76722817,81247396,True,2019-04-29,1
115,East Europe,East Europe Store 76,2019-01-10,Beauty/Health,Skincare,3,10,62689631,2160835,False,2019-01-10,1
116,East Europe,East Europe Store 76,2019-06-19,Furniture,Patio furniture,9,100,44352439,68714553,True,2019-01-12,2
117,East Europe,East Europe Store 76,2019-01-01,Clothing,Shoes,4,25,27848525,84272565,True,2019-08-20,2
118,East Europe,East Europe Store 76,2019-05-01,Clothing,Shoes,8,25,66091963,73036223,True,2019-07-29,3
119,East Europe,East Europe Store 76,2019-05-13,Beauty/Health,Oral care,9,6,51146268,32844692,False,2019-05-13,1
120,East Europe,East Europe Store 76,2019-05-29,Clothing,Shoes,7,20,40161614,48402704,True,2019-05-29,1
121,East Europe,East Europe Store 76,2019-04-07,Beauty/Health,Fragrances,6,14,67925556,85569066,True,2019-01-23,2
122,East Europe,East Europe Store 76,2019-07-20,Clothing,Swimwear,9,13,84468969,46241869,True,2019-07-20,1
123,East Europe,East Europe Store 76,2019-06-05,Electronics,Computers,8,200,40134282,81679563,True,2019-07-29,2
124,East Europe,East Europe Store 76,2019-03-19,Clothing,Mens,4,10,20712151,86433400,True,2019-03-19,1
125,East Europe,East Europe Store 76,2019-02-21,Electronics,Cell Phones,3,200,15880612,36734195,False,2019-01-18,2
126,East Europe,East Europe Store 76,2019-03-22,Baby,Strollers,4,10,74094447,54453042,True,2019-07-18,2
127,East Europe,East Europe Store 76,2019-07-18,Clothing,Kids,11,13,70980498,39759364,True,2019-07-18,1
128,East Europe,East Europe Store 76,2019-04-23,Furniture,Indoor seating,7,30,96870702,40623698,True,2019-04-23,1
129,East Europe,East Europe Store 76,2019-07-13,Furniture,Beds,9,15,15126396,74332724,True,2019-07-13,1
130,East Europe,East Europe Store 76,2019-04-09,Baby,Diaper bags,5,15,74700789,57046044,True,2019-04-09,1
131,East Europe,East Europe Store 76,2019-01-03,Baby,Cribs,3,30,14454446,67418052,True,2019-05-28,2
132,East Europe,East Europe Store 76,2019-07-11,Beauty/Health,Oral care,9,14,22646643,52292207,True,2019-07-11,1
133,East Europe,East Europe Store 76,2019-05-10,Clothing,Shoes,8,20,63140993,19447515,False,2019-05-10,1
134,East Europe,East Europe Store 76,2019-06-12,Beauty/Health,Fragrances,10,10,47414186,80815229,True,2019-08-15,3
135,East Europe,East Europe Store 76,2019-07-17,Baby,Diaper bags,10,10,28158177,52292207,True,2019-07-11,2
136,East Europe,East Europe Store 76,2019-04-09,Electronics,Cell Phones,5,50,95351696,4753837,False,2019-04-09,1
137,East Europe,East Europe Store 76,2019-02-17,Baby,Strollers,4,15,98965339,35869861,False,2019-02-17,1
138,East Europe,East Europe Store 76,2019-05-04,Beauty/Health,Skincare,8,14,75396888,35437694,False,2019-05-04,1
139,East Europe,East Europe Store 76,2019-06-10,Electronics,Speakers,7,50,61345694,15990179,False,2019-06-10,1
140,East Europe,East Europe Store 76,2019-05-29,Furniture,Patio furniture,7,30,12694297,58342545,True,2019-05-13,2
141,East Europe,East Europe Store 76,2019-03-23,Beauty/Health,Oral care,6,10,53456384,43216700,True,2019-08-20,3
142,East Europe,East Europe Store 76,2019-04-19,Baby,Diaper bags,6,10,45493505,86865567,True,2019-04-19,1
143,East Europe,East Europe Store 76,2019-08-05,Baby,Baby toys,12,10,18334815,26794354,False,2019-08-05,1
144,East Europe,East Europe Store 76,2019-07-11,Furniture,Beds,9,75,38743238,75629225,True,2019-02-26,2
145,East Europe,East Europe Store 76,2019-04-26,Beauty/Health,Bath,6,10,32208670,86001233,True,2019-04-26,1
146,East Europe,East Europe Store 76,2019-04-01,Clothing,Mens,6,12,40238451,83840398,True,2019-04-01,1
147,East Europe,East Europe Store 76,2019-03-02,Beauty/Health,Haircare,5,10,66957457,26362187,False,2019-02-19,2
148,East Europe,East Europe Store 76,2019-03-04,Beauty/Health,Bath,6,10,82305025,73468390,True,2019-05-02,2
149,East Europe,East Europe Store 76,2019-06-24,Baby,Baby toys,8,5,29281070,28090855,False,2019-03-10,3
150,East Europe,East Europe Store 76,2019-08-07,Furniture,Indoor tables,12,75,76280980,15990179,False,2019-06-10,2
151,East Europe,East Europe Store 76,2019-06-16,Clothing,Kids,8,25,61911870,11668509,False,2019-06-16,1
152,East Europe,East Europe Store 76,2019-06-16,Baby,Car seats,10,30,24642155,66121551,True,2019-06-16,1
153,East Europe,East Europe Store 76,2019-02-01,Beauty/Health,Skincare,4,10,74730404,44513201,True,2019-06-09,2
154,East Europe,East Europe Store 76,2019-02-14,Baby,Diapers,4,30,42589346,42784533,True,2019-06-16,3
155,East Europe,East Europe Store 76,2019-08-05,Baby,Diapers,12,5,46476287,7346839,False,2019-08-05,1
156,East Europe,East Europe Store 76,2019-03-24,Clothing,Baby,5,20,71556688,40191531,True,2019-03-24,1
157,East Europe,East Europe Store 76,2019-01-29,Baby,Diaper bags,3,30,75352476,29387356,False,2019-01-29,1
158,East Europe,East Europe Store 76,2019-07-24,Baby,Strollers,11,12,94999407,73036223,True,2019-07-29,4
159,East Europe,East Europe Store 76,2019-02-12,Furniture,Indoor seating,5,40,43776612,46241869,True,2019-07-20,2
160,East Europe,East Europe Store 76,2019-04-08,Beauty/Health,Feminine Products,7,10,21815192,34141193,False,2019-01-21,3
161,East Europe,East Europe Store 76,2019-05-25,Electronics,Tablets,7,200,50630525,74764891,True,2019-01-24,2
162,East Europe,East Europe Store 76,2019-03-03,Electronics,Tablets,5,200,45943643,67418052,True,2019-05-28,3
163,East Europe,East Europe Store 76,2019-07-06,Beauty/Health,Oral care,10,14,42868214,82111730,True,2019-07-06,1
164,East Europe,East Europe Store 76,2019-07-02,Furniture,Pool furniture,9,100,23642322,82111730,True,2019-07-06,2
165,East Europe,East Europe Store 76,2019-05-15,Clothing,Baby,8,25,68973855,61799881,True,2019-05-15,1
166,East Europe,East Europe Store 76,2019-01-11,Baby,Diapers,2,10,63729755,20744016,False,2019-07-05,2
167,East Europe,East Europe Store 76,2019-08-08,Baby,Car seats,12,30,74986761,81247396,True,2019-04-29,2
168,East Europe,East Europe Store 76,2019-08-05,Furniture,Beds,12,30,79979637,55749543,True,2019-02-09,3
169,East Europe,East Europe Store 76,2019-05-25,Beauty/Health,Oral care,9,10,78150524,78654394,True,2019-05-25,1
170,East Europe,East Europe Store 76,2019-04-27,Clothing,Womens,7,25,98375114,42352366,True,2019-04-27,1
171,East Europe,East Europe Store 76,2019-02-02,Clothing,Mens,5,20,93068246,52724374,True,2019-07-28,2
172,East Europe,East Europe Store 76,2019-08-20,Clothing,Baby,12,20,51857276,57046044,True,2019-04-09,2
173,East Europe,East Europe Store 76,2019-06-08,Furniture,Beds,10,75,88109448,54885209,True,2019-01-10,2
174,East Europe,East Europe Store 76,2019-01-14,Electronics,Televisions,3,100,72062161,21608350,False,2019-01-14,1
175,East Europe,East Europe Store 76,2019-03-15,Baby,Diapers,5,5,78632313,33709026,False,2019-05-25,2
176,East Europe,East Europe Store 76,2019-02-03,Baby,Cribs,5,5,40943690,66553718,True,2019-01-27,3
177,East Europe,East Europe Store 76,2019-07-04,Furniture,Beds,10,30,47414118,43216700,True,2019-08-20,4
178,East Europe,East Europe Store 76,2019-05-05,Electronics,Headphones,6,200,35908438,33709026,False,2019-05-25,3
179,East Europe,East Europe Store 76,2019-03-02,Beauty/Health,Bath,4,14,33710887,28090855,False,2019-03-10,4
180,East Europe,East Europe Store 76,2019-05-30,Beauty/Health,Feminine Products,9,10,64953839,27226521,False,2019-05-10,2
181,East Europe,East Europe Store 76,2019-01-28,Furniture,Patio furniture,3,15,22900868,86865567,True,2019-04-19,2
182,East Europe,East Europe Store 76,2019-03-03,Clothing,Womens,4,25,18889533,9939841,False,2019-03-03,1
183,East Europe,East Europe Store 76,2019-04-21,Clothing,Mens,5,10,59162892,56613877,True,2019-02-27,2
184,East Europe,East Europe Store 76,2019-01-14,Baby,Diapers,3,5,37111664,16854513,False,2019-01-14,1
185,East Europe,East Europe Store 76,2019-06-21,Beauty/Health,Feminine Products,8,10,67814022,12100676,False,2019-06-21,1
186,East Europe,East Europe Store 76,2019-02-21,Electronics,Computers,3,200,18300785,64825050,True,2019-02-21,1
187,East Europe,East Europe Store 76,2019-07-14,Clothing,Mens,10,13,95653951,62232048,True,2019-03-31,2
188,East Europe,East Europe Store 76,2019-02-27,Baby,Cribs,5,30,53982828,67418052,True,2019-05-28,4
189,East Europe,East Europe Store 76,2019-05-17,Beauty/Health,Fragrances,9,15,88249587,55749543,True,2019-02-09,4
190,East Europe,East Europe Store 76,2019-07-18,Furniture,Patio furniture,10,40,98130179,60935547,True,2019-07-18,1
191,East Europe,East Europe Store 76,2019-06-05,Furniture,Indoor seating,8,100,80837945,52292207,True,2019-07-11,3
192,East Europe,East Europe Store 76,2019-03-20,Clothing,Swimwear,6,25,56206649,44945368,True,2019-07-07,2
193,East Europe,East Europe Store 76,2019-04-09,Baby,Strollers,6,10,80459429,61367714,True,2019-08-11,2
194,East Europe,East Europe Store 76,2019-03-26,Electronics,Speakers,5,50,84836624,26362187,False,2019-02-19,3
195,East Europe,East Europe Store 76,2019-04-18,Beauty/Health,Feminine Products,5,10,90756811,16854513,False,2019-01-14,2
196,East Europe,East Europe Store 76,2019-01-13,Furniture,Patio furniture,3,100,72140279,41920199,True,2019-01-13,1
197,East Europe,East Europe Store 76,2019-01-19,Clothing,Shoes,2,13,23951596,27226521,False,2019-05-10,3
198,East Europe,East Europe Store 76,2019-03-09,Furniture,Indoor seating,5,40,67352237,44081034,True,2019-04-23,3
199,East Europe,East Europe Store 76,2019-01-12,Clothing,Kids,3,13,27154647,82111730,True,2019-07-06,3
200,East Europe,East Europe Store 76,2019-06-30,Baby,Strollers,9,30,93352724,48402704,True,2019-05-29,2
201,East Europe,East Europe Store 76,2019-05-19,Electronics,Speakers,7,100,98905243,62232048,True,2019-03-31,3
202,East Europe,East Europe Store 76,2019-04-06,Furniture,Beds,5,75,43286424,59206879,True,2019-04-06,1
203,East Europe,East Europe Store 76,2019-08-16,Furniture,Beds,11,15,51420802,12532843,False,2019-08-16,1
204,East Europe,East Europe Store 76,2019-03-17,Beauty/Health,Makeup,5,14,86565819,67850219,True,2019-01-03,2
205,East Europe,East Europe Store 76,2019-05-25,Furniture,Pool furniture,8,75,18242180,36734195,False,2019-01-18,3
206,East Europe,East Europe Store 76,2019-05-06,Beauty/Health,Skincare,7,10,87009583,57478211,True,2019-07-27,2
207,East Europe,East Europe Store 76,2019-03-03,Electronics,Tablets,4,100,43083405,2593002,False,2019-03-03,1
208,East Europe,East Europe Store 76,2019-02-02,Baby,Diaper bags,4,30,17546987,63528549,True,2019-02-02,1
209,East Europe,East Europe Store 76,2019-02-06,Baby,Car seats,4,30,20985595,51860040,True,2019-02-06,1
210,East Europe,East Europe Store 76,2019-01-13,Beauty/Health,Makeup,4,14,54694483,1296501,False,2019-01-13,1
211,East Europe,East Europe Store 76,2019-07-03,Clothing,Baby,9,20,62951201,62232048,True,2019-03-31,4
